Card_Name,Rarity,RH?,Number,Market Price,Listed Median,Adjusted Price,Slot 1 (Common),Slot 2 (Common),Slot 3 (Common),Slot 4 (Common),Slot 5 (Uncommon),Slot 6 (Uncommon),Slot 7 (Uncommon),Slot 8 (RH),Slot 9 (Illustration/RH),Slot 10 (Rare+),Slot 11 (Code)
Pineco,Common,No,001/198,$0.04,$0.06,$0.10,0.009523809524,0.009523809524,0.009523809524,0.009523809524,0.000000000000,0.000000000000,0.000000000000,0,0,0,0
Heracross,Uncommon,No,002/198,$0.04,$0.06,$0.10,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.016666666667,0.016666666667,0.016666666667,0,0,0,0
Shroomish,Common,No,003/198,$0.04,$0.07,$0.10,0.009523809524,0.009523809524,0.009523809524,0.009523809524,0.000000000000,0.000000000000,0.000000000000,0,0,0,0
Breloom,Uncommon,No,004/198,$0.04,$0.05,$0.10,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.016666666667,0.016666666667,0.016666666667,0,0,0,0
Cacnea - 005/198,Common,No,005/198,$0.06,$0.07,$0.10,0.009523809524,0.009523809524,0.009523809524,0.009523809524,0.000000000000,0.000000000000,0.000000000000,0,0,0,0
Cacturne - 006/198,Uncommon,No,006/198,$0.07,$0.07,$0.10,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.016666666667,0.016666666667,0.016666666667,0,0,0,0
Tropius,Common,No,007/198,$0.06,$0.07,$0.10,0.009523809524,0.009523809524,0.009523809524,0.009523809524,0.000000000000,0.000000000000,0.000000000000,0,0,0,0
Scatterbug,Common,No,008/198,$0.02,$0.05,$0.10,0.009523809524,0.009523809524,0.009523809524,0.009523809524,0.000000000000,0.000000000000,0.000000000000,0,0,0,0
Spewpa,Common,No,009/198,$0.04,$0.05,$0.10,0.009523809524,0.009523809524,0.009523809524,0.009523809524,0.000000000000,0.000000000000,0.000000000000,0,0,0,0
Vivillon,Uncommon,No,010/198,$0.03,$0.07,$0.10,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.016666666667,0.016666666667,0.016666666667,0,0,0,0
Skiddo,Common,No,011/198,$0.03,$0.05,$0.10,0.009523809524,0.009523809524,0.009523809524,0.009523809524,0.000000000000,0.000000000000,0.000000000000,0,0,0,0
Gogoat,Common,No,012/198,$0.05,$0.07,$0.10,0.009523809524,0.009523809524,0.009523809524,0.009523809524,0.000000000000,0.000000000000,0.000000000000,0,0,0,0
Sprigatito,Common,No,013/198,$0.07,$0.08,$0.10,0.009523809524,0.009523809524,0.009523809524,0.009523809524,0.000000000000,0.000000000000,0.000000000000,0,0,0,0
Floragato,Uncommon,No,014/198,$0.04,$0.10,$0.10,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.016666666667,0.016666666667,0.016666666667,0,0,0,0
Meowscarada - 015/198,Rare,No,015/198,$0.14,—,$0.25,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0,0,0.03793809524,0
Tarountula - 016/198,Common,No,016/198,$0.07,$0.08,$0.10,0.009523809524,0.009523809524,0.009523809524,0.009523809524,0.000000000000,0.000000000000,0.000000000000,0,0,0,0
Tarountula - 017/198,Common,No,017/198,$0.06,$0.07,$0.10,0.009523809524,0.009523809524,0.009523809524,0.009523809524,0.000000000000,0.000000000000,0.000000000000,0,0,0,0
Tarountula - 018/198,Common,No,018/198,$0.06,$0.10,$0.10,0.009523809524,0.009523809524,0.009523809524,0.009523809524,0.000000000000,0.000000000000,0.000000000000,0,0,0,0
Spidops ex - 019/198,Double Rare,No,019/198,$0.71,—,$1.00,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0,0,0.01146666667,0
Smoliv - 020/198,Common,No,020/198,$0.06,$0.06,$0.10,0.009523809524,0.009523809524,0.009523809524,0.009523809524,0.000000000000,0.000000000000,0.000000000000,0,0,0,0
Smoliv - 021/198,Common,No,021/198,$0.04,$0.08,$0.10,0.009523809524,0.009523809524,0.009523809524,0.009523809524,0.000000000000,0.000000000000,0.000000000000,0,0,0,0
Dolliv - 022/198,Common,No,022/198,$0.09,$0.09,$0.10,0.009523809524,0.009523809524,0.009523809524,0.009523809524,0.000000000000,0.000000000000,0.000000000000,0,0,0,0
Arboliva,Rare,No,023/198,$0.08,—,$0.25,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0,0,0.03793809524,0
Toedscool - 024/198,Common,No,024/198,$0.03,$0.07,$0.10,0.009523809524,0.009523809524,0.009523809524,0.009523809524,0.000000000000,0.000000000000,0.000000000000,0,0,0,0
