Card_Name,Rarity,RH?,Number,Market Price,Listed Median,Adjusted Price,Slot 1 (Common),Slot 2 (Common),Slot 3 (Common),Slot 4 (Common),Slot 5 (Common),Slot 6 (Uncommon),Slot 7 (Uncommon),Slot 8 (Uncommon),Slot 9 (Radiant/TG/RH),Slot 10 (Rare+),Slot 11 (Code)
Beedrill V,Normal Pokemon V,No,001/189,$0.60 ,—,$1.00 ,0,0,0,0,0,0,0,0,0,0.006721053,0
Hisuian Voltorb,Common,No,002/189,$0.04 ,$0.05 ,$0.10 ,0.025,0.025,0.025,0.025,0.025,0,0,0,0,0,0
Hisuian Electrode,Uncommon,No,003/189,$0.06 ,$0.08 ,$0.10 ,0,0,0,0,0,0.021276596,0.021276596,0.021276596,0,0,0
Scyther (004),Common,No,004/189,$0.04 ,$0.06 ,$0.10 ,0.025,0.025,0.025,0.025,0.025,0,0,0,0,0,0
Scyther (005),Common,No,005/189,$0.03 ,$0.05 ,$0.10 ,0.025,0.025,0.025,0.025,0.025,0,0,0,0,0,0
Yanma,Common,No,006/189,$0.03 ,$0.05 ,$0.10 ,0.025,0.025,0.025,0.025,0.025,0,0,0,0,0,0
Yanmega,Uncommon,No,007/189,$0.03 ,$0.05 ,$0.10 ,0,0,0,0,0,0.021276596,0.021276596,0.021276596,0,0,0
Heracross,Common,No,008/189,$0.02 ,$0.05 ,$0.10 ,0.025,0.025,0.025,0.025,0.025,0,0,0,0,0,0
Kricketot,Common,No,009/189,$0.02 ,$0.05 ,$0.10 ,0.025,0.025,0.025,0.025,0.025,0,0,0,0,0,0
Kricketune,Uncommon,No,010/189,$0.04 ,$0.10 ,$0.10 ,0,0,0,0,0,0.021276596,0.021276596,0.021276596,0,0,0
Combee,Common,No,011/189,$0.03 ,$0.05 ,$0.10 ,0.025,0.025,0.025,0.025,0.025,0,0,0,0,0,0
Vespiquen,Rare,No,012/189,$0.06 ,$0.15 ,$0.25 ,0,0,0,0,0,0,0,0,0,0.018968293,0
Leafeon,Rare,No,013/189,$0.15 ,$0.20 ,$0.25 ,0,0,0,0,0,0,0,0,0,0.018968293,0
Shaymin,Rare,No,014/189,$0.09 ,$0.12 ,$0.25 ,0,0,0,0,0,0,0,0,0,0.018968293,0
Petilil,Common,No,015/189,$0.03 ,$0.05 ,$0.10 ,0.025,0.025,0.025,0.025,0.025,0,0,0,0,0,0
Hisuian Lilligant,Rare,No,016/189,$0.19 ,—,$0.25 ,0,0,0,0,0,0,0,0,0,0.018968293,0
Hisuian Lilligant V,Normal Pokemon V,No,017/189,$0.68 ,—,$1.00 ,0,0,0,0,0,0,0,0,0,0.006721053,0
Hisuian Lilligant VSTAR,Pokemon VMAX or VSTAR,No,018/189,$1.47 ,—,$1.62 ,0,0,0,0,0,0,0,0,0,0.003855556,0
Rowlet,Common,No,019/189,$0.03 ,$0.05 ,$0.10 ,0.025,0.025,0.025,0.025,0.025,0,0,0,0,0,0
Dartrix,Uncommon,No,020/189,$0.03 ,$0.08 ,$0.10 ,0,0,0,0,0,0.021276596,0.021276596,0.021276596,0,0,0
Ponyta,Common,No,021/189,$0.03 ,$0.08 ,$0.10 ,0.025,0.025,0.025,0.025,0.025,0,0,0,0,0,0
Rapidash,Rare,No,022/189,$0.08 ,$0.15 ,$0.25 ,0,0,0,0,0,0,0,0,0,0.018968293,0
Cyndaquil,Common,No,023/189,$0.04 ,$0.10 ,$0.10 ,0.025,0.025,0.025,0.025,0.025,0,0,0,0,0,0
Quilava,Uncommon,No,024/189,$0.03 ,$0.10 ,$0.10 ,0,0,0,0,0,0.021276596,0.021276596,0.021276596,0,0,0
Heatran V,Normal Pokemon V,No,025/189,$0.68 ,—,$1.00 ,0,0,0,0,0,0,0,0,0,0.006721053,0
Heatran VMAX,Pokemon VMAX or VSTAR,No,026/189,$1.50 ,—,$1.65 ,0,0,0,0,0,0,0,0,0,0.003855556,0
Radiant Heatran,Radiant Rare,No,027/189,$0.48 ,—,$1.00 ,0,0,0,0,0,0,0,0,0.016266667,0,0
Psyduck,Common,No,028/189,$0.03 ,$0.06 ,$0.10 ,0.025,0.025,0.025,0.025,0.025,0,0,0,0,0,0
